group,n_users,HR@10
K-12 student,195,0.2923076923076923
academic/educator,528,0.2878787878787879
artist,267,0.30337078651685395
clerical/admin,173,0.3583815028901734
college/grad student,759,0.31488801054018445
customer service,112,0.39285714285714285
doctor/health care,236,0.288135593220339
executive/managerial,679,0.3637702503681885
farmer,17,0.47058823529411764
homemaker,92,0.30434782608695654
lawyer,129,0.35658914728682173
other,711,0.34458509142053445
programmer,388,0.3247422680412371
retired,142,0.3591549295774648
sales/marketing,302,0.31788079470198677
scientist,144,0.375
self-employed,241,0.35684647302904565
technician/engineer,502,0.3665338645418327
tradesman/craftsman,70,0.2714285714285714
unemployed,72,0.25
writer,281,0.35231316725978645
