feature,importance
item_popularity,1193
genre_affinity,957
retrieval_score,744
n_history,469
user_genre_Crime,412
user_genre_Comedy,360
user_genre_Drama,352
user_genre_Romance,339
user_genre_War,332
user_genre_Horror,330
user_genre_Adventure,312
user_genre_Animation,299
user_genre_SciFi,296
user_genre_Thriller,290
user_genre_Action,281
user_genre_Musical,278
user_genre_Western,266
user_genre_FilmNoir,258
user_genre_Mystery,256
user_genre_Fantasy,255
user_genre_Childrens,235
occupation,185
user_genre_Documentary,173
age_enc,98
gender_enc,30
